candidate,family,mae_min,runtime_seconds
median,baseline,4.8531235983055065,0.6274272500013467
rf_leaf1,random_forest,1.943699912008196,14.760662250002497
rf_leaf3,random_forest,1.958936726987333,12.219419334011036
rf_leaf5,random_forest,1.9993811362234604,13.33636495799874
xgb_depth3,xgboost,2.0148068191040727,1.840840416989522
xgb_depth5,xgboost,1.903384036856817,2.5788338749989634
xgb_depth7,xgboost,1.9064163071693934,3.539490334005677
