method_id,observations,compound_groups,mae_min,rmse_min,median_absolute_error_min,p90_absolute_error_min,mean_group_mae_min
M01,267,266,0.6518765091628171,0.9518555242121287,0.46121295928955064,1.4369805603027344,0.6527072750177599
M02,267,266,0.8647778633739172,1.249261487884498,0.6356092453002926,1.9358182792663579,0.8651536524743962
M03,267,266,1.1269070542439092,1.5979459477543776,0.8787499427795407,2.4003878860473633,1.1273686276342636
M04,267,266,1.0131297062934561,1.4486750178613286,0.7745455932617187,2.151121852874756,1.013896164643137
M05,267,266,1.0608571289719715,1.5071003928496571,0.7909497451782226,2.2730932502746577,1.0621192248781821
M06,267,266,1.3503548474615432,1.9334116817762335,1.025723915100098,2.8541531906127937,1.351825844076343
M07,267,266,1.6654551924301888,2.3276096823578634,1.2604267883300784,3.4231559371948257,1.6663300335317628
M08,267,266,2.017233890897772,2.7854741180166,1.4738655471801758,4.389902332305909,2.012866396115239
M09,267,266,1.9306428878226978,2.673491427472695,1.4836645507812491,4.175390396118164,1.9272701560644279
M10,267,266,2.0714078145973693,2.875480591887069,1.4384902954101548,4.509400115966797,2.0673494868170947
M11,267,266,2.0287942547030218,2.808866847084184,1.4689747619628903,4.468988143920899,2.024106609444869
M12,267,266,3.2050535109516383,4.616460662179337,2.367505950927736,6.752492401123049,3.200659220738519
M13,267,266,3.3902071747797704,4.86273838545586,2.520856781005861,6.8699453125000005,3.3869020678584736
M14,267,266,3.202294811255923,4.629380525628544,2.4437983703613284,6.22611264038086,3.2007812554137156
M15,267,266,3.4359004686477035,4.88293074241051,2.58306884765625,7.028625015258791,3.4317215646299206
M16,267,266,5.884358633627159,8.551670551354839,3.8383596801757847,13.445605255126953,5.887814894332025
M17,267,266,0.7985508247439781,1.1271173838470012,0.5928616905212403,1.8127709274291992,0.7995638906328301
M18,267,266,1.0273285473598524,1.4706607751747873,0.7702347946166999,2.225496482849121,1.0277570786153465
M19,267,266,1.125431125030089,1.628351223965887,0.8185952949523925,2.2372323780059817,1.1277938408421393
M20,263,262,1.2925596312606291,1.7960292959192035,0.9609161376953121,2.6696799392700195,1.2939725414305243
M21,263,262,0.9989334723251401,1.4970415437736575,0.7442279815673825,2.006126686096192,1.0010880962036948
M22,263,262,3.091954938612963,4.395537359734859,2.3774199676513668,5.860899490356447,3.094626235634316
M23,263,262,2.779098742905678,3.9844879081138513,2.1648084640502923,5.1814434814453145,2.783253335534161
M24,263,262,3.215136932692147,4.4665504351925644,2.5404976654052724,6.256900711059571,3.217145278435627
M25,273,272,1.1315457257421027,1.6800401972688723,0.7162601852416994,2.80524584197998,1.1326936583659228
M26,273,272,1.1276152190533313,1.6537276886977696,0.7052893447875981,2.650092224121094,1.1288770216703417
M27,273,272,1.6199321465614516,2.273512173507896,1.1701012802124016,3.5409986267089835,1.6196887300645604
M28,273,272,1.550061401674599,2.1355653126538114,1.2173694610595707,3.1043970260620117,1.5511356425285339
M29,273,272,1.5707356102911982,2.2069636333424922,1.1161167144775384,3.52118539428711,1.570594342736637
M30,273,272,1.0677521816016118,1.4701916884351767,0.8250077438354495,2.190099006652832,1.0692537523017211
