method_id,observations,compound_groups,mae_min,rmse_min,median_absolute_error_min,p90_absolute_error_min,mean_group_mae_min
M01,267,266,0.6682460539085248,0.9460517099703334,0.49853640261046106,1.3779898556473613,0.668807863361989
M02,267,266,0.9277211607136243,1.3053738904181877,0.6433038349820137,2.156892169061727,0.9267688041207303
M03,267,266,1.1827391429062006,1.6004400243404593,0.9532974122306976,2.4723889791729605,1.180925386964148
M04,267,266,1.0538679673218148,1.4591053251522805,0.7447693967862179,2.0511878428838437,1.0542821613475475
M05,267,266,1.105112259773322,1.516128250107111,0.8318208844320427,2.1168936462213277,1.106152201881525
M06,267,266,1.4106353033149228,1.9276979205251956,1.0632896329076154,2.895012186277843,1.4134551873538308
M07,267,266,1.7255342321125542,2.345123061822324,1.3658849980020058,3.441321296997222,1.728516895143635
M08,267,266,2.087370588497321,2.87144792579915,1.5618764824050402,4.645795547069855,2.081665047068989
M09,267,266,2.0225295050716907,2.8313383444028792,1.437144507281154,4.221723036007306,2.019360457156716
M10,267,266,2.282339643583898,3.066128481770633,1.822219783068153,4.927666547986832,2.2726147969408457
M11,267,266,2.114533684148579,2.8919605619377107,1.6331517035809053,4.398686047296461,2.1064667484533692
M12,267,266,3.2396010856197743,4.438704296508706,2.3440774069944403,6.651385529016308,3.237864564838904
M13,267,266,3.4293071738510355,4.672680052071206,2.6532569912184556,7.061428018373781,3.427717638948896
M14,267,266,3.332434862498727,4.535175566967165,2.573360367533226,6.387851309151704,3.339023734995518
M15,267,266,3.4711462604037355,4.701460189904318,2.7250364720769475,6.997815391955144,3.4692732072862085
M16,267,266,6.216715164275992,8.801005507438028,4.158599322811327,13.727462672783073,6.229358288194366
M17,267,266,0.8565571114966469,1.188470068158746,0.6682482656938911,1.7900929097269749,0.858482980541235
M18,267,266,1.0710464885635387,1.4710145979231493,0.8140482746946267,2.1859217614670436,1.0694761066995666
M19,267,266,1.1828815913322457,1.6264809721904856,0.8642975764335414,2.30326238910972,1.185072134095438
M20,263,262,1.413200947597171,1.8581875144441091,1.1702237965917814,2.674037088564373,1.4170681267864733
M21,263,262,1.0468343201125823,1.4847459496357245,0.7539427509471999,2.0317221986328033,1.049493993090111
M22,263,262,3.226248547045468,4.3302523232414725,2.634108256671425,6.447275806731219,3.2272960470015115
M23,263,262,2.9804507857689364,4.0140088245317695,2.3005501886806012,5.8135479532432965,2.9876342042853965
M24,263,262,3.372540495942636,4.448514559218436,2.80147597508803,6.5884167216669045,3.3725203703455287
M25,273,272,1.2623895442858903,1.7567258633868008,0.8274772315745764,3.044877244658171,1.2607145962254405
M26,273,272,1.2067203628449308,1.682635212610825,0.8381950731626464,2.6680462647997665,1.2081418750908814
M27,273,272,1.7184180845497923,2.2977218175104785,1.378275684896808,3.3656496933232947,1.7161886593419244
M28,273,272,1.6579207890903762,2.226982098999377,1.2900927082403246,3.2199066780114363,1.6599169103100608
M29,273,272,1.6644002122232637,2.2509720861020464,1.2915170055238825,3.36700599965467,1.66187632489689
M30,273,272,1.1573978984361133,1.5013644858421733,1.007664739193931,2.3348668437444515,1.1557223613986287
