method_id,observations,compound_groups,mae_min,rmse_min,median_absolute_error_min,p90_absolute_error_min,mean_group_mae_min
M01,267,266,1.0002168943417653,1.344872982009161,0.8266561698913577,1.8716907272338872,1.0000365587956925
M02,267,266,1.1001214964827348,1.471772701430227,0.8521714401245113,2.200212554931641,1.0972361054994109
M03,267,266,1.1762742608584715,1.6615248309939272,0.8838911056518555,2.3827800559997567,1.1726813139503163
M04,267,266,1.0447031485900449,1.5128625248345378,0.7448826217651359,2.208015655517578,1.042427183855745
M05,267,266,1.1029793236496743,1.5803685996385977,0.8129750823974611,2.383354202270508,1.1017666053861606
M06,267,266,1.3846607232183106,1.959477616192106,1.0357231903076176,2.8970235061645506,1.3822636573834526
M07,267,266,1.6910906646135593,2.368177576246413,1.298775577545166,3.688115356445313,1.6901821266439623
M08,267,266,2.0894491759310947,2.9253694824652894,1.5630775451660153,4.547028518676758,2.0858420615088673
M09,267,266,2.0393323288673764,2.8432178662248533,1.5421914291381835,4.377748695373536,2.036103831885901
M10,267,266,2.1657561350940315,3.037575954711133,1.5283399963378912,4.72066382598877,2.1605425183038065
M11,267,266,2.0880903195620477,2.9417868922822055,1.4268679809570308,4.52935238647461,2.0831144546745413
M12,267,266,3.2644289301397205,4.643197051564061,2.445979423522949,6.782161132812499,3.2590566276966175
M13,267,266,3.4880815078613905,4.864434529242913,2.6861116695404053,6.697448822021485,3.483601584165616
M14,267,266,3.2491704094348552,4.630016998049469,2.4573981380462646,6.406618469238281,3.2486671698076606
M15,267,266,3.4834597951017514,4.89475802373907,2.6443367767333967,6.917978408813477,3.478788958510062
M16,267,266,6.426519020169638,9.155131225460318,4.284478302001951,14.74260368347168,6.423106905431451
M17,267,266,0.8993199616023217,1.2963474056753548,0.6209733200073249,1.9560860824584962,0.8971401584999901
M18,267,266,1.09255810524194,1.5558506249582533,0.7632728958129888,2.242411437988282,1.0882163419669733
M19,267,266,1.2722995444362084,1.7577932282118405,0.9549368286132811,2.5059714202880863,1.2755224750543894
M20,263,262,1.3321911503516224,1.8781925835207285,0.95751449584961,2.9002431564331053,1.3339847136544818
M21,263,262,1.145167156890771,1.6345722295195453,0.8598574066162108,2.4466247329711917,1.1479941107230331
M22,263,262,3.1718279538680387,4.476689756181832,2.4121046447753898,6.4278851852417045,3.1769665298389116
M23,263,262,2.8845329849960235,4.104228965816303,2.159229297637939,5.708818977355961,2.8900584837839802
M24,263,262,3.3402483138747994,4.606201426173396,2.487148590087891,6.674507522583009,3.3461602662355845
M25,273,272,1.309240030386509,1.9035569539947572,0.8270088577270513,3.022877307891846,1.304412074895466
M26,273,272,1.2541636987658211,1.817792309184047,0.8529792785644528,2.7172215480804445,1.2499634709253031
M27,273,272,1.682074987355606,2.417979413077752,1.2087942886352536,3.4910216903686533,1.6781758514221976
M28,273,272,1.6024042199906847,2.3040906698589,1.2467899322509766,3.19729672241211,1.5996675236610807
M29,273,272,1.6422140624147632,2.385978853612796,1.2103205871582041,3.654690132141115,1.6387965855528326
M30,273,272,1.126618846825191,1.5894810558983783,0.8657853317260749,2.212304550170898,1.1230302621073582
