method_id,observations,compound_groups,mae_min,rmse_min,median_absolute_error_min,p90_absolute_error_min,mean_group_mae_min
M01,267,266,0.6486108480230088,0.9167215012298318,0.4718098354423397,1.3650012008880026,0.6490490128718772
M02,267,266,0.8939170937821324,1.2962087815766343,0.6213080505050446,1.995868875591074,0.893838289557069
M03,267,266,1.1677910286650879,1.605167592604435,0.9176769826839832,2.381685537418137,1.1669613513420949
M04,267,266,1.0469835825397096,1.469240840134503,0.7758019870129917,2.04229787834388,1.047685668042803
M05,267,266,1.093689662253526,1.526552610143419,0.8152668856143901,2.1415485298701324,1.0948867730267302
M06,267,266,1.381097591245417,1.921808390516707,1.0852686362526391,2.858236982550781,1.384411889511282
M07,267,266,1.684171608052042,2.3429847148945613,1.301429403984903,3.2993059180819166,1.6870355958374148
M08,267,266,2.0584939388019015,2.8595869820100224,1.509174208347222,4.433963681118873,2.053884523864569
M09,267,266,1.972311822275898,2.787717289929228,1.400583244533248,4.290055203329993,1.9698535373890564
M10,267,266,2.2159779676195637,3.0216373011799913,1.7169329588189655,4.547629549450549,2.207597721193176
M11,267,266,2.077655216730834,2.885363846846535,1.5494439277389205,4.513653889710287,2.071070708142734
M12,267,266,3.1925821805595214,4.434991404963082,2.3563878703518917,6.841661610900211,3.189753838167853
M13,267,266,3.4064293563550843,4.677981418379277,2.62987150149851,7.153238448218453,3.4037234957676366
M14,267,266,3.2346423227397216,4.471513009632677,2.6058079191919203,6.195778047596847,3.239777623479317
M15,267,266,3.4349868755551944,4.707724515397657,2.635981468753478,7.01849104198024,3.432003995448199
M16,267,266,6.106312009079609,8.682883107379945,4.19221256709956,13.522366667266068,6.116380439540459
M17,267,266,0.8242454035172069,1.1544699923932185,0.6072620641025619,1.7186320871572875,0.8259452010785788
M18,267,266,1.07292448489177,1.4820164127716735,0.8333784387214127,2.3585192369852384,1.0720808229653045
M19,267,266,1.1489278766038495,1.6095604603486875,0.8441251500721476,2.215652401842603,1.150703041158728
M20,263,262,1.371037061796674,1.814413723064027,1.1653095194805188,2.603785781329781,1.3744669911068577
M21,263,262,1.023379058789343,1.4677139677745528,0.724270203130204,1.9662450081474065,1.0258565735055991
M22,263,262,3.1640530928071278,4.284888649267103,2.5093223203463157,6.290379534798529,3.1644444599794386
M23,263,262,2.892381869176092,3.9290360479063406,2.396202612387613,5.44466753830614,2.8979464865275304
M24,263,262,3.318005167497976,4.404658744432232,2.6665555402375416,6.576964917726717,3.3177902926192453
M25,273,272,1.2157159422513488,1.7205458836203222,0.8422922279942249,2.760642772050167,1.2151453625041935
M26,273,272,1.1662567206437267,1.6741575937793827,0.8221338750138791,2.7279057324675358,1.1684078122234212
M27,273,272,1.6870033258833148,2.2799820681649305,1.3116844683094744,3.3775342854700847,1.6848448060889272
M28,273,272,1.598012007350403,2.183001544780772,1.193447613830613,3.146297503940506,1.5991447766510452
M29,273,272,1.6312458452717402,2.233589975679484,1.1871473650793725,3.4792359589299604,1.628572689956897
M30,273,272,1.1432661400351425,1.498390223569554,0.9780199480519443,2.3168897445887446,1.1424204453828082
