method_id,column_name,column_length_mm,column_id_mm,particle_um,column_temperature_c,sample_temperature_c,run_time_min,gradient_knot_count,phase_A_water_fraction,phase_A_meoh_fraction,phase_A_acn_fraction,phase_A_formic_acid_percent,phase_A_ammonium_formate_mm,phase_A_ammonium_acetate_mm,phase_B_water_fraction,phase_B_meoh_fraction,phase_B_acn_fraction,phase_B_formic_acid_percent,phase_B_ammonium_formate_mm,phase_B_ammonium_acetate_mm,knot_0_time_min,knot_0_flow_ml_min,knot_0_percent_b,knot_0_water_fraction,knot_0_meoh_fraction,knot_0_acn_fraction,knot_1_time_min,knot_1_flow_ml_min,knot_1_percent_b,knot_1_water_fraction,knot_1_meoh_fraction,knot_1_acn_fraction,knot_2_time_min,knot_2_flow_ml_min,knot_2_percent_b,knot_2_water_fraction,knot_2_meoh_fraction,knot_2_acn_fraction,knot_3_time_min,knot_3_flow_ml_min,knot_3_percent_b,knot_3_water_fraction,knot_3_meoh_fraction,knot_3_acn_fraction,knot_4_time_min,knot_4_flow_ml_min,knot_4_percent_b,knot_4_water_fraction,knot_4_meoh_fraction,knot_4_acn_fraction,knot_5_time_min,knot_5_flow_ml_min,knot_5_percent_b,knot_5_water_fraction,knot_5_meoh_fraction,knot_5_acn_fraction,knot_6_time_min,knot_6_flow_ml_min,knot_6_percent_b,knot_6_water_fraction,knot_6_meoh_fraction,knot_6_acn_fraction,source_file,column_dimensions_raw,mobile_phase_a_raw,mobile_phase_b_raw
M11,ACQUITY BEH C18,100,2.1,1.7,30,10,30,6,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,0,0.9,0.1,0,2,0.2,0,0.9,0.1,0,24,0.2,100,0,1,0,27,0.2,100,0,1,0,27.1,0.2,0,0.9,0.1,0,30,0.2,0,0.9,0.1,0,30,0.2,0,0.9,0.1,0,Dataset 11.xlsx,"100 x 2.1 mm, 1.7 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M12,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,45,6,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.3,0,0.9,0.1,0,2,0.3,0,0.9,0.1,0,38,0.3,100,0,1,0,42,0.3,100,0,1,0,42.1,0.3,0,0.9,0.1,0,45,0.3,0,0.9,0.1,0,45,0.3,0,0.9,0.1,0,Dataset 12.xlsx,"100 x 2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M13,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,60,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,1,0.891,0.109,0,1,0.2,1,0.891,0.109,0,12,0.2,40,0.54,0.46,0,40,0.2,100,0,1,0,49,0.2,100,0,1,0,50,0.2,1,0.891,0.109,0,60,0.2,1,0.891,0.109,0,Dataset 13.xlsx,"100 x 2.1 mm, 1.8 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M14,ACQUITY UPLC HSS T3,50,2.1,1.8,30,10,60,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,1,0.891,0.109,0,1,0.2,1,0.891,0.109,0,12,0.2,40,0.54,0.46,0,40,0.2,100,0,1,0,49,0.2,100,0,1,0,50,0.2,1,0.891,0.109,0,60,0.2,1,0.891,0.109,0,Dataset 14.xlsx,"2.1 x 50 mm,1.8 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M15,Acclaim 120 C18,150,4.6,5,30,4,60,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,1,5,0.855,0.145,0,1,1,5,0.855,0.145,0,12,1,40,0.54,0.46,0,40,1,100,0,1,0,49,1,100,0,1,0,50,1,5,0.855,0.145,0,60,1,5,0.855,0.145,0,Dataset 15.xlsx,"4.6 x 150 mm, 5 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M16,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,100,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,1,0.891,0.109,0,2,0.2,1,0.891,0.109,0,40,0.2,40,0.54,0.46,0,70,0.2,100,0,1,0,89,0.2,100,0,1,0,90,0.2,1,0.891,0.109,0,100,0.2,1,0.891,0.109,0,Dataset 16.xlsx,"100 x 2.1 mm, 1.8 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M17,Thermo Hypersil GOLD,100,2.1,1.9,45,10,14,6,1,0,0,0.1,4,0,0,1,0,0.1,4,0,0,0.3,12,0.88,0.12,0,8,0.3,95,0.05,0.95,0,9,0.3,100,0,1,0,11,0.3,100,0,1,0,11.1,0.3,12,0.88,0.12,0,14,0.3,12,0.88,0.12,0,14,0.3,12,0.88,0.12,0,Dataset 17.xlsx,"100 x 2.1 mm, 1.9 μm",Water with 0.1% formic acid and 4 mM ammonium formate,Methanol with 0.1% formic acid and 4 mM ammonium formate
M18,Thermo Hypersil GOLD,100,2.1,1.9,30,10,21,7,1,0,0,0.1,4,0,0,1,0,0.1,4,0,0,0.2,1,0.99,0.01,0,1,0.2,1,0.99,0.01,0,3,0.2,39,0.61,0.39,0,14,0.4,99,0.01,0.99,0,16,0.48,99,0.01,0.99,0,16.1,0.2,1,0.99,0.01,0,21,0.2,1,0.99,0.01,0,Dataset 18.xlsx,"100 x 2.1 mm, 1.9 μm",Water with 0.1% formic acid and 4 mM ammonium formate,Methanol with 0.1% formic acid and 4 mM ammonium formate
M19,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,21,7,0.9,0.1,0,0.1,5,0,0,0,1,0,0,0,0,0.2,1,0.891,0.099,0.01,1,0.2,1,0.891,0.099,0.01,3,0.2,39,0.549,0.061,0.39,14,0.4,99,0.009,0.001,0.99,16,0.48,99,0.009,0.001,0.99,16.1,0.2,1,0.891,0.099,0.01,21,0.2,1,0.891,0.099,0.01,Dataset 19.xlsx,"100 x 2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 0.1% formic acid and 5 mM ammonium formate",Acetonitrile
M20,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,20,6,1,0,0,0.1,0,0,0,0,1,0.1,0,0,0,0.5,2,0.98,0,0.02,2,0.5,2,0.98,0,0.02,15,0.5,99,0.01,0,0.99,17,0.5,99,0.01,0,0.99,18,0.5,2,0.98,0,0.02,20,0.5,2,0.98,0,0.02,20,0.5,2,0.98,0,0.02,Dataset 20.xlsx,"100 x 2.1 mm, 1.8 μm",Water with 0.1% formic acid,Acetonitrile with 0.1% formic acid
