compound_id,method_id,rt_min,rsd_source,retention_factor_source,source_file,source_row
1,M01,1.27,0.0079,0,Dataset 01.xlsx,2
1,M02,0.92,0.0232,0,Dataset 02.xlsx,2
1,M03,1.36,0.003,0,Dataset 03.xlsx,2
1,M04,1.38,0.019,0,Dataset 04.xlsx,2
1,M05,1.31,0,0,Dataset 05.xlsx,2
1,M06,1.4,0,0,Dataset 06.xlsx,2
1,M07,1.37,0.0103,0,Dataset 07.xlsx,2
1,M08,0.91,0.0072,0,Dataset 08.xlsx,2
1,M09,0.93,0.0188,0,Dataset 09.xlsx,2
1,M10,1.35,0.0035,0,Dataset 10.xlsx,2
1,M11,1.33,0.0053,0,Dataset 11.xlsx,2
1,M12,0.94,0.0061,0,Dataset 12.xlsx,2
1,M13,1.27,0.0063,0,Dataset 13.xlsx,2
1,M14,0.75,0.0075,0,Dataset 14.xlsx,2
1,M15,1.6,0.0221,0,Dataset 15.xlsx,2
1,M16,1.25,0.0095,0,Dataset 16.xlsx,2
1,M17,0.92,0.0107,0,Dataset 17.xlsx,2
1,M18,1.44,0.0246,0,Dataset 18.xlsx,2
1,M19,1.37,0.0042,0,Dataset 19.xlsx,2
1,M20,0.63,0.0194,0,Dataset 20.xlsx,2
1,M21,1.41,0.005,0,Dataset 21.xlsx,2
1,M22,1.21,0.0043,0,Dataset 22.xlsx,2
1,M23,0.75,0.0094,0,Dataset 23.xlsx,2
1,M24,1.56,0.0194,0,Dataset 24.xlsx,2
1,M25,1.3,0.0068,0,Dataset 25.xlsx,2
1,M26,0.78,0.0059,0,Dataset 26.xlsx,2
1,M27,1.29,0.0152,0,Dataset 27.xlsx,2
1,M28,0.78,0.0106,0,Dataset 28.xlsx,2
1,M29,1.67,0.0197,0,Dataset 29.xlsx,2
1,M30,1.35,0.0197,0,Dataset 30.xlsx,2
2,M01,1.41,0.005,0.11,Dataset 01.xlsx,3
2,M02,1.03,0.0049,0.13,Dataset 02.xlsx,3
2,M03,1.57,0.0096,0.15,Dataset 03.xlsx,3
2,M04,1.44,0.0057,0.04,Dataset 04.xlsx,3
2,M05,1.32,0.0107,0.01,Dataset 05.xlsx,3
2,M06,1.66,0.0185,0.19,Dataset 06.xlsx,3
2,M07,1.58,0.0045,0.15,Dataset 07.xlsx,3
2,M08,1.05,0.0065,0.15,Dataset 08.xlsx,3
2,M09,0.98,0,0.05,Dataset 09.xlsx,3
2,M10,1.55,0.0112,0.15,Dataset 10.xlsx,3
2,M11,1.6,0,0.2,Dataset 11.xlsx,3
2,M12,1.13,0.0072,0.2,Dataset 12.xlsx,3
2,M13,1.45,0,0.14,Dataset 13.xlsx,3
2,M14,0.82,0.026,0.09,Dataset 14.xlsx,3
2,M15,2.01,0,0.26,Dataset 15.xlsx,3
2,M16,1.43,0.0036,0.14,Dataset 16.xlsx,3
2,M17,0.96,0.0215,0.04,Dataset 17.xlsx,3
2,M18,1.63,0,0.13,Dataset 18.xlsx,3
2,M19,1.55,0.0134,0.14,Dataset 19.xlsx,3
2,M20,0.87,0,0.39,Dataset 20.xlsx,3
2,M21,1.63,0.0087,0.16,Dataset 21.xlsx,3
2,M22,1.62,0.0123,0.34,Dataset 22.xlsx,3
2,M23,0.85,0,0.13,Dataset 23.xlsx,3
2,M24,2.13,0,0.37,Dataset 24.xlsx,3
2,M25,1.44,0.011,0.11,Dataset 25.xlsx,3
2,M26,0.85,0.0206,0.09,Dataset 26.xlsx,3
2,M27,1.46,0,0.13,Dataset 27.xlsx,3
2,M28,0.83,0.0199,0.06,Dataset 28.xlsx,3
2,M29,2.17,0.0033,0.3,Dataset 29.xlsx,3
2,M30,1.34,0.0049,0,Dataset 30.xlsx,3
3,M01,1.4,0.0143,0.1,Dataset 01.xlsx,4
3,M02,0.9,0.0106,0,Dataset 02.xlsx,4
3,M03,1.4,0.0109,0.03,Dataset 03.xlsx,4
3,M04,1.43,0.0107,0.03,Dataset 04.xlsx,4
3,M05,1.35,0,0.03,Dataset 05.xlsx,4
3,M06,1.48,0,0.06,Dataset 06.xlsx,4
3,M07,1.4,0.0051,0.02,Dataset 07.xlsx,4
3,M08,0.95,0.0069,0.04,Dataset 08.xlsx,4
3,M09,0.97,0.0053,0.04,Dataset 09.xlsx,4
3,M10,1.4,0.0125,0.04,Dataset 10.xlsx,4
3,M11,1.44,0.0214,0.08,Dataset 11.xlsx,4
3,M12,0.93,0.0088,0,Dataset 12.xlsx,4
3,M13,1.4,0.0247,0.1,Dataset 13.xlsx,4
3,M14,0.83,0.0095,0.11,Dataset 14.xlsx,4
3,M15,1.7,0.0042,0.06,Dataset 15.xlsx,4
3,M16,1.43,0,0.14,Dataset 16.xlsx,4
3,M17,0.96,0.0103,0.04,Dataset 17.xlsx,4
3,M18,1.43,0.0049,0,Dataset 18.xlsx,4
3,M19,1.41,0.0071,0.03,Dataset 19.xlsx,4
3,M20,0.69,0.0035,0.1,Dataset 20.xlsx,4
3,M21,1.4,0.0101,0,Dataset 21.xlsx,4
3,M22,1.52,0.0049,0.26,Dataset 22.xlsx,4
3,M23,0.85,0.0294,0.13,Dataset 23.xlsx,4
3,M24,1.97,0.0031,0.26,Dataset 24.xlsx,4
3,M25,1.3,0.0129,0,Dataset 25.xlsx,4
3,M26,0.78,0.0084,0,Dataset 26.xlsx,4
3,M27,1.29,0.0216,0,Dataset 27.xlsx,4
3,M28,0.77,0.0214,0,Dataset 28.xlsx,4
3,M29,1.66,0.0043,0,Dataset 29.xlsx,4
3,M30,1.41,0.0226,0.04,Dataset 30.xlsx,4
4,M01,5.06,0.0044,2.98,Dataset 01.xlsx,5
4,M02,6.32,0.0008,5.9,Dataset 02.xlsx,5
4,M03,5.61,0.0009,3.13,Dataset 03.xlsx,5
4,M04,5.29,0.0024,2.82,Dataset 04.xlsx,5
4,M05,5.11,0,2.9,Dataset 05.xlsx,5
4,M06,7.07,0.001,4.05,Dataset 06.xlsx,5
4,M07,7.05,0.002,4.15,Dataset 07.xlsx,5
4,M08,8.27,0.0008,8.08,Dataset 08.xlsx,5
4,M09,7.05,0.0039,6.56,Dataset 09.xlsx,5
4,M10,10.19,0.0006,6.55,Dataset 10.xlsx,5
4,M11,9.08,0.0008,5.85,Dataset 11.xlsx,5
4,M12,9.36,0.0021,8.94,Dataset 12.xlsx,5
4,M13,10.46,0.0008,7.24,Dataset 13.xlsx,5
4,M14,7.3,0.002,8.73,Dataset 14.xlsx,5
4,M15,10.88,0.0007,5.8,Dataset 15.xlsx,5
4,M16,15.77,0.0011,11.62,Dataset 16.xlsx,5
4,M17,3.5,0.0048,2.8,Dataset 17.xlsx,5
4,M18,5.76,0.0012,3,Dataset 18.xlsx,5
4,M19,4.89,0.0012,2.58,Dataset 19.xlsx,5
4,M20,5.68,0.0004,8.09,Dataset 20.xlsx,5
4,M21,4.88,0.0044,2.46,Dataset 21.xlsx,5
4,M22,8.49,0.0016,6.02,Dataset 22.xlsx,5
4,M23,6.48,0.0044,7.64,Dataset 23.xlsx,5
4,M24,8.68,0.0007,4.56,Dataset 24.xlsx,5
4,M25,9.4,0.0027,6.23,Dataset 25.xlsx,5
4,M26,7.2,0.0016,8.23,Dataset 26.xlsx,5
4,M27,9.08,0.0017,6.04,Dataset 27.xlsx,5
4,M28,7.31,0.0034,8.37,Dataset 28.xlsx,5
4,M29,9.04,0.0008,4.41,Dataset 29.xlsx,5
4,M30,5.55,0.0037,3.11,Dataset 30.xlsx,5
5,M01,1.85,0.0108,0.46,Dataset 01.xlsx,6
5,M02,1.48,0.0034,0.62,Dataset 02.xlsx,6
5,M03,2.03,0.0075,0.49,Dataset 03.xlsx,6
5,M04,1.62,0.0162,0.17,Dataset 04.xlsx,6
5,M05,1.78,0.004,0.36,Dataset 05.xlsx,6
5,M06,2.07,0.0034,0.48,Dataset 06.xlsx,6
5,M07,1.99,0.0107,0.45,Dataset 07.xlsx,6
5,M08,1.37,0.0048,0.51,Dataset 08.xlsx,6
5,M09,1.24,0.0074,0.33,Dataset 09.xlsx,6
5,M10,1.97,0.0089,0.46,Dataset 10.xlsx,6
5,M11,1.76,0.004,0.33,Dataset 11.xlsx,6
5,M12,1.43,0.0151,0.52,Dataset 12.xlsx,6
5,M13,2.02,0.0039,0.59,Dataset 13.xlsx,6
5,M14,1.12,0.0056,0.49,Dataset 14.xlsx,6
5,M15,2.59,0,0.62,Dataset 15.xlsx,6
5,M16,2.03,0.0078,0.62,Dataset 16.xlsx,6
5,M17,1.21,0.014,0.32,Dataset 17.xlsx,6
5,M18,1.81,0,0.26,Dataset 18.xlsx,6
5,M19,2.13,0.0155,0.56,Dataset 19.xlsx,6
5,M20,1.35,0,1.16,Dataset 20.xlsx,6
5,M21,2,0.0176,0.42,Dataset 21.xlsx,6
5,M22,1.96,0.003,0.62,Dataset 22.xlsx,6
5,M23,1.17,0.0227,0.56,Dataset 23.xlsx,6
5,M24,2.38,0,0.53,Dataset 24.xlsx,6
5,M25,2.11,0.0176,0.62,Dataset 25.xlsx,6
5,M26,1.01,0.0043,0.29,Dataset 26.xlsx,6
5,M27,2.17,0.013,0.68,Dataset 27.xlsx,6
5,M28,0.96,0.034,0.23,Dataset 28.xlsx,6
5,M29,2.58,0.0082,0.54,Dataset 29.xlsx,6
5,M30,1.78,0.0065,0.32,Dataset 30.xlsx,6
6,M01,1.36,0.0043,0.07,Dataset 01.xlsx,7
6,M02,0.92,0.0074,0,Dataset 02.xlsx,7
6,M03,1.36,0.0066,0,Dataset 03.xlsx,7
6,M04,1.38,0.0105,0,Dataset 04.xlsx,7
6,M05,1.33,0.0227,0.01,Dataset 05.xlsx,7
6,M06,1.42,0,0.01,Dataset 06.xlsx,7
6,M07,1.36,0.006,0,Dataset 07.xlsx,7
6,M08,0.93,0.0071,0.02,Dataset 08.xlsx,7
6,M09,0.93,0.0128,0,Dataset 09.xlsx,7
6,M10,1.37,0.0076,0.01,Dataset 10.xlsx,7
6,M11,1.32,0.0114,0,Dataset 11.xlsx,7
6,M12,0.92,0.0085,0,Dataset 12.xlsx,7
6,M13,1.38,0.0122,0.09,Dataset 13.xlsx,7
6,M14,0.8,0.0099,0.07,Dataset 14.xlsx,7
6,M15,1.78,0.0079,0.11,Dataset 15.xlsx,7
6,M16,1.39,0.0057,0.11,Dataset 16.xlsx,7
6,M17,0.9,0.011,0,Dataset 17.xlsx,7
6,M18,1.48,0.0096,0.02,Dataset 18.xlsx,7
6,M19,1.38,0.0042,0.01,Dataset 19.xlsx,7
6,M20,0.65,0.0075,0.03,Dataset 20.xlsx,7
6,M21,1.46,0.0097,0.03,Dataset 21.xlsx,7
6,M22,1.27,0.0058,0.05,Dataset 22.xlsx,7
6,M23,0.81,0.0539,0.08,Dataset 23.xlsx,7
6,M24,1.58,0.0077,0.01,Dataset 24.xlsx,7
6,M25,1.52,0.0099,0.17,Dataset 25.xlsx,7
6,M26,0.87,0.0075,0.12,Dataset 26.xlsx,7
6,M27,1.53,0,0.19,Dataset 27.xlsx,7
6,M28,0.84,0.0196,0.08,Dataset 28.xlsx,7
6,M29,2.49,0.0057,0.49,Dataset 29.xlsx,7
6,M30,1.44,0.0097,0.07,Dataset 30.xlsx,7
7,M01,1.37,0.0158,0.08,Dataset 01.xlsx,8
7,M02,0.92,0.0054,0.01,Dataset 02.xlsx,8
7,M03,1.38,0.0071,0.02,Dataset 03.xlsx,8
7,M04,1.4,0.0109,0.01,Dataset 04.xlsx,8
7,M05,1.31,0,0,Dataset 05.xlsx,8
7,M06,1.43,0.0099,0.02,Dataset 06.xlsx,8
7,M07,1.37,0.0052,0,Dataset 07.xlsx,8
7,M08,0.93,0.0072,0.02,Dataset 08.xlsx,8
7,M09,0.94,0.0055,0,Dataset 09.xlsx,8
7,M10,1.38,0.0082,0.02,Dataset 10.xlsx,8
7,M11,1.32,0,0,Dataset 11.xlsx,8
7,M12,0.93,0.005,0,Dataset 12.xlsx,8
7,M13,1.38,0,0.09,Dataset 13.xlsx,8
7,M14,0.8,0.0121,0.07,Dataset 14.xlsx,8
7,M15,1.79,0,0.12,Dataset 15.xlsx,8
7,M16,1.39,0.0047,0.11,Dataset 16.xlsx,8
7,M17,0.93,0.0259,0.01,Dataset 17.xlsx,8
7,M18,1.48,0,0.02,Dataset 18.xlsx,8
7,M19,1.38,0.0042,0.01,Dataset 19.xlsx,8
7,M20,0.64,0,0.02,Dataset 20.xlsx,8
7,M21,1.46,0.0048,0.04,Dataset 21.xlsx,8
7,M22,1.27,0.0071,0.05,Dataset 22.xlsx,8
7,M23,0.8,0.0313,0.06,Dataset 23.xlsx,8
7,M24,1.63,0,0.04,Dataset 24.xlsx,8
7,M25,1.47,0.0054,0.13,Dataset 25.xlsx,8
7,M26,0.84,0.0095,0.08,Dataset 26.xlsx,8
7,M27,1.48,0.0048,0.14,Dataset 27.xlsx,8
7,M28,0.84,0.0098,0.08,Dataset 28.xlsx,8
7,M29,2.56,0.0045,0.53,Dataset 29.xlsx,8
7,M30,1.79,0.0052,0.32,Dataset 30.xlsx,8
8,M01,6.18,0.0032,3.87,Dataset 01.xlsx,9
8,M02,8.18,0,7.94,Dataset 02.xlsx,9
8,M03,7.53,0.0011,4.54,Dataset 03.xlsx,9
8,M04,6.85,0.0012,3.95,Dataset 04.xlsx,9
8,M05,6.63,0.0011,4.06,Dataset 05.xlsx,9
8,M06,9.24,0.0008,5.6,Dataset 06.xlsx,9
8,M07,9.79,0,6.15,Dataset 07.xlsx,9
8,M08,13.13,0.0005,13.42,Dataset 08.xlsx,9
8,M09,11.77,0.0014,11.62,Dataset 09.xlsx,9
8,M10,15.1,0.0006,10.19,Dataset 10.xlsx,9
8,M11,13.68,0.0005,9.32,Dataset 11.xlsx,9
8,M12,16.87,0.0013,16.91,Dataset 12.xlsx,9
8,M13,16,0.0005,11.6,Dataset 13.xlsx,9
8,M14,12.63,0.0017,15.84,Dataset 14.xlsx,9
8,M15,16.74,0.0021,9.46,Dataset 15.xlsx,9
8,M16,32.21,0.0003,24.77,Dataset 16.xlsx,9
8,M17,5.37,0.0031,4.83,Dataset 17.xlsx,9
8,M18,7.44,0.0048,4.17,Dataset 18.xlsx,9
8,M19,6.26,0,3.59,Dataset 19.xlsx,9
8,M20,7.91,0.0015,11.65,Dataset 20.xlsx,9
8,M21,6.07,0.0012,3.3,Dataset 21.xlsx,9
8,M22,12.46,0.0016,9.3,Dataset 22.xlsx,9
8,M23,10.15,0.0007,12.53,Dataset 23.xlsx,9
8,M24,13.01,0.0023,7.34,Dataset 24.xlsx,9
8,M25,11.99,0.0007,8.22,Dataset 25.xlsx,9
8,M26,10.21,0.0017,12.09,Dataset 26.xlsx,9
8,M27,12.15,0.0017,8.41,Dataset 27.xlsx,9
8,M28,9.88,0.0008,11.67,Dataset 28.xlsx,9
8,M29,12.38,0.0006,6.41,Dataset 29.xlsx,9
8,M30,7.55,0.0094,4.59,Dataset 30.xlsx,9
9,M01,4.05,0.0052,2.19,Dataset 01.xlsx,10
9,M02,4.38,0.0058,3.79,Dataset 02.xlsx,10
9,M03,4.52,0.0013,2.33,Dataset 03.xlsx,10
9,M04,4.21,0.0012,2.05,Dataset 04.xlsx,10
9,M05,3.93,0.0018,2,Dataset 05.xlsx,10
9,M06,5.73,0.0025,3.09,Dataset 06.xlsx,10
9,M07,5.03,0.0186,2.67,Dataset 07.xlsx,10
9,M08,4.49,0.0015,3.93,Dataset 08.xlsx,10
9,M09,3.4,0.0065,2.64,Dataset 09.xlsx,10
9,M10,6.2,0.0011,3.59,Dataset 10.xlsx,10
9,M11,4.6,0.011,2.47,Dataset 11.xlsx,10
9,M12,4.44,0.0011,3.71,Dataset 12.xlsx,10
9,M13,5.97,0.0095,3.7,Dataset 13.xlsx,10
9,M14,3.58,0.0119,3.77,Dataset 14.xlsx,10
9,M15,6.45,0.0011,3.03,Dataset 15.xlsx,10
9,M16,6.89,0.0021,4.51,Dataset 16.xlsx,10
9,M17,2.33,0.0103,1.53,Dataset 17.xlsx,10
9,M18,4.86,0.0015,2.37,Dataset 18.xlsx,10
9,M19,4.37,0.0032,2.2,Dataset 19.xlsx,10
9,M20,4.38,0.0006,6.01,Dataset 20.xlsx,10
9,M21,4.43,0.0016,2.14,Dataset 21.xlsx,10
9,M22,6.05,0.0066,4,Dataset 22.xlsx,10
9,M23,3.5,0.006,3.66,Dataset 23.xlsx,10
9,M24,6.49,0.0009,3.16,Dataset 24.xlsx,10
9,M25,6.49,0.0015,3.99,Dataset 25.xlsx,10
9,M26,4.54,0.0077,4.82,Dataset 26.xlsx,10
9,M27,6.93,0.002,4.37,Dataset 27.xlsx,10
9,M28,5.16,0.0016,5.62,Dataset 28.xlsx,10
9,M29,6.93,0.001,3.15,Dataset 29.xlsx,10
9,M30,4.53,0.0062,2.35,Dataset 30.xlsx,10
10,M01,1.36,0.0221,0.07,Dataset 01.xlsx,11
10,M02,0.87,0.0057,0,Dataset 02.xlsx,11
10,M03,1.32,0.008,0,Dataset 03.xlsx,11
10,M04,1.38,0.0036,0,Dataset 04.xlsx,11
10,M05,1.29,0,0,Dataset 05.xlsx,11
10,M06,1.38,0.0051,0,Dataset 06.xlsx,11
10,M07,1.3,0.0259,0,Dataset 07.xlsx,11
10,M08,0.87,0.0076,0,Dataset 08.xlsx,11
10,M09,0.92,0.005,0,Dataset 09.xlsx,11
10,M10,1.31,0.0092,0,Dataset 10.xlsx,11
10,M11,1.29,0,0,Dataset 11.xlsx,11
10,M12,0.87,0.0058,0,Dataset 12.xlsx,11
10,M13,1.38,0,0.09,Dataset 13.xlsx,11
10,M14,0.78,0.0081,0.04,Dataset 14.xlsx,11
10,M15,1.78,0.0119,0.11,Dataset 15.xlsx,11
10,M16,1.39,0.0251,0.11,Dataset 16.xlsx,11
10,M17,0.89,0.0191,0,Dataset 17.xlsx,11
10,M18,1.45,0.0146,0.01,Dataset 18.xlsx,11
10,M19,1.34,0.0097,0,Dataset 19.xlsx,11
10,M20,0.59,0.0123,0,Dataset 20.xlsx,11
10,M21,1.41,0.0151,0,Dataset 21.xlsx,11
10,M22,1.25,0.0047,0.03,Dataset 22.xlsx,11
10,M23,0.88,0.0081,0.17,Dataset 23.xlsx,11
10,M24,1.58,0.0115,0.01,Dataset 24.xlsx,11
10,M25,1.32,0.0145,0.02,Dataset 25.xlsx,11
10,M26,0.87,0.0059,0.12,Dataset 26.xlsx,11
10,M27,1.36,0.0049,0.05,Dataset 27.xlsx,11
10,M28,0.85,0.0291,0.09,Dataset 28.xlsx,11
10,M29,2.51,0.0085,0.5,Dataset 29.xlsx,11
10,M30,1.45,0.0028,0.07,Dataset 30.xlsx,11
11,M01,2.6,0.0054,1.05,Dataset 01.xlsx,12
11,M02,1.95,0.0145,1.13,Dataset 02.xlsx,12
11,M03,2.88,0.0041,1.12,Dataset 03.xlsx,12
11,M04,2.42,0.0034,0.75,Dataset 04.xlsx,12
11,M05,2.32,0.0031,0.77,Dataset 05.xlsx,12
11,M06,3.19,0.0044,1.28,Dataset 06.xlsx,12
11,M07,2.86,0.0025,1.08,Dataset 07.xlsx,12
11,M08,1.96,0.0034,1.15,Dataset 08.xlsx,12
11,M09,1.64,0.014,0.76,Dataset 09.xlsx,12
11,M10,2.85,0.0047,1.11,Dataset 10.xlsx,12
11,M11,2.4,0.0089,0.81,Dataset 11.xlsx,12
11,M12,1.96,0,1.08,Dataset 12.xlsx,12
11,M13,3.22,0.0074,1.54,Dataset 13.xlsx,12
11,M14,1.72,0,1.29,Dataset 14.xlsx,12
11,M15,3.93,0.0018,1.45,Dataset 15.xlsx,12
11,M16,3.19,0.0072,1.55,Dataset 16.xlsx,12
11,M17,1.48,0.0163,0.6,Dataset 17.xlsx,12
11,M18,4.09,0.0017,1.84,Dataset 18.xlsx,12
11,M19,2.75,0.0063,1.01,Dataset 19.xlsx,12
11,M20,2.06,0.0012,2.3,Dataset 20.xlsx,12
11,M21,3.71,0.0019,1.63,Dataset 21.xlsx,12
11,M22,2.95,0,1.44,Dataset 22.xlsx,12
11,M23,1.61,0.0044,1.14,Dataset 23.xlsx,12
11,M24,4.12,0.0015,1.64,Dataset 24.xlsx,12
11,M25,4.12,0.0026,2.17,Dataset 25.xlsx,12
11,M26,2.17,0,1.78,Dataset 26.xlsx,12
11,M27,4.33,0,2.36,Dataset 27.xlsx,12
11,M28,2.32,0.0036,1.97,Dataset 28.xlsx,12
11,M29,5.26,0.004,2.15,Dataset 29.xlsx,12
11,M30,2.89,0.0041,1.14,Dataset 30.xlsx,12
12,M01,3.73,0.0076,1.94,Dataset 01.xlsx,13
12,M02,3.19,0.0018,2.48,Dataset 02.xlsx,13
12,M03,4.13,0.0036,2.04,Dataset 03.xlsx,13
12,M04,3.31,0.0053,1.4,Dataset 04.xlsx,13
12,M05,3.05,0.0016,1.33,Dataset 05.xlsx,13
12,M06,5.25,0.0013,2.75,Dataset 06.xlsx,13
12,M07,4.34,0,2.16,Dataset 07.xlsx,13
12,M08,3.2,0.0021,2.52,Dataset 08.xlsx,13
12,M09,2.27,0.0102,1.43,Dataset 09.xlsx,13
12,M10,4.62,0.0037,2.42,Dataset 10.xlsx,13
12,M11,3.4,0.007,1.56,Dataset 11.xlsx,13
12,M12,3.21,0.0088,2.4,Dataset 12.xlsx,13
12,M13,4.85,0.0055,2.82,Dataset 13.xlsx,13
12,M14,2.66,0.0042,2.55,Dataset 14.xlsx,13
12,M15,5.46,0.0039,2.41,Dataset 15.xlsx,13
12,M16,5.09,0.0045,3.07,Dataset 16.xlsx,13
12,M17,1.82,0.0093,0.97,Dataset 17.xlsx,13
12,M18,4.55,0.0047,2.16,Dataset 18.xlsx,13
12,M19,4.18,0.003,2.06,Dataset 19.xlsx,13
12,M20,4.9,0.0015,6.84,Dataset 20.xlsx,13
12,M21,4.37,0.0065,2.1,Dataset 21.xlsx,13
12,M22,5.85,0.0018,3.83,Dataset 22.xlsx,13
12,M23,3.2,0.0044,3.27,Dataset 23.xlsx,13
12,M24,6.39,0.0028,3.1,Dataset 24.xlsx,13
12,M25,5.63,0.0052,3.33,Dataset 25.xlsx,13
12,M26,3.68,0.0025,3.72,Dataset 26.xlsx,13
12,M27,6.23,0,3.83,Dataset 27.xlsx,13
12,M28,4.18,0.0079,4.36,Dataset 28.xlsx,13
12,M29,6.37,0.0011,2.81,Dataset 29.xlsx,13
12,M30,4.11,0.0081,2.04,Dataset 30.xlsx,13
13,M01,1.27,0,0,Dataset 01.xlsx,14
13,M02,0.91,0.0105,0,Dataset 02.xlsx,14
13,M03,1.4,0.0039,0.03,Dataset 03.xlsx,14
13,M04,1.33,0.0044,0,Dataset 04.xlsx,14
13,M05,1.44,0.0196,0.1,Dataset 05.xlsx,14
13,M06,1.42,0.01,0.01,Dataset 06.xlsx,14
13,M07,1.37,0.0052,0,Dataset 07.xlsx,14
13,M08,0.91,0.0073,0,Dataset 08.xlsx,14
13,M09,0.9,0.0073,0,Dataset 09.xlsx,14
13,M10,1.35,0.0047,0,Dataset 10.xlsx,14
13,M11,1.32,0.0098,0,Dataset 11.xlsx,14
13,M12,0.85,0.0059,0,Dataset 12.xlsx,14
13,M13,1.27,0.0114,0,Dataset 13.xlsx,14
13,M14,0.75,0.0256,0,Dataset 14.xlsx,14
13,M15,1.68,0.0211,0.05,Dataset 15.xlsx,14
13,M16,1.25,0.014,0,Dataset 16.xlsx,14
13,M17,0.9,0.0266,0,Dataset 17.xlsx,14
13,M18,1.45,0.0244,0.01,Dataset 18.xlsx,14
13,M19,1.28,0.0075,0,Dataset 19.xlsx,14
13,M20,0.65,0.0186,0.04,Dataset 20.xlsx,14
13,M21,1.43,0.0049,0.01,Dataset 21.xlsx,14
13,M22,1.21,0.0148,0,Dataset 22.xlsx,14
13,M23,0.77,0.0169,0.02,Dataset 23.xlsx,14
13,M24,1.56,0.0194,0,Dataset 24.xlsx,14
13,M25,1.3,0.0068,0,Dataset 25.xlsx,14
13,M26,0.78,0.0203,0,Dataset 26.xlsx,14
13,M27,1.29,0.0219,0,Dataset 27.xlsx,14
13,M28,0.77,0.0107,0,Dataset 28.xlsx,14
13,M29,1.64,0.0172,0,Dataset 29.xlsx,14
13,M30,1.43,0.0039,0.06,Dataset 30.xlsx,14
14,M01,4.07,0.0028,2.2,Dataset 01.xlsx,15
14,M02,4.8,0.0046,4.25,Dataset 02.xlsx,15
14,M03,4.55,0.0027,2.35,Dataset 03.xlsx,15
14,M04,4.19,0.0023,2.03,Dataset 04.xlsx,15
14,M05,3.9,0.0018,1.97,Dataset 05.xlsx,15
14,M06,5.81,0.0012,3.15,Dataset 06.xlsx,15
14,M07,5.21,0.0041,2.8,Dataset 07.xlsx,15
14,M08,5.4,0.0012,4.93,Dataset 08.xlsx,15
14,M09,3.64,0.006,2.9,Dataset 09.xlsx,15
14,M10,6.89,0.002,4.1,Dataset 10.xlsx,15
14,M11,5.14,0.0028,2.88,Dataset 11.xlsx,15
14,M12,5.62,0.005,4.97,Dataset 12.xlsx,15
14,M13,6.56,0.0024,4.17,Dataset 13.xlsx,15
14,M14,4.31,0.004,4.75,Dataset 14.xlsx,15
14,M15,6.68,0.0011,3.17,Dataset 15.xlsx,15
14,M16,8.32,0.0026,5.66,Dataset 16.xlsx,15
14,M17,2.17,0.0078,1.36,Dataset 17.xlsx,15
14,M18,4.82,0.0015,2.34,Dataset 18.xlsx,15
14,M19,4.44,0.0029,2.26,Dataset 19.xlsx,15
14,M20,4.88,0.0005,6.8,Dataset 20.xlsx,15
14,M21,4.51,0.0031,2.2,Dataset 21.xlsx,15
14,M22,6.96,0.0023,4.75,Dataset 22.xlsx,15
14,M23,5.03,0.0014,5.7,Dataset 23.xlsx,15
14,M24,7.08,0.0009,3.54,Dataset 24.xlsx,15
14,M25,6.86,0.0024,4.28,Dataset 25.xlsx,15
14,M26,5.19,0.0027,5.65,Dataset 26.xlsx,15
14,M27,7.14,0.0008,4.54,Dataset 27.xlsx,15
14,M28,5.76,0.0029,6.38,Dataset 28.xlsx,15
14,M29,6.92,0.001,3.14,Dataset 29.xlsx,15
14,M30,4.56,0.0046,2.37,Dataset 30.xlsx,15
15,M01,1.9,0.0169,0.5,Dataset 01.xlsx,16
15,M02,1.75,0.0127,0.91,Dataset 02.xlsx,16
15,M03,2.14,0.0026,0.58,Dataset 03.xlsx,16
15,M04,1.75,0.0101,0.27,Dataset 04.xlsx,16
15,M05,1.85,0.0153,0.41,Dataset 05.xlsx,16
15,M06,2.32,0.0061,0.66,Dataset 06.xlsx,16
15,M07,2.13,0.0033,0.55,Dataset 07.xlsx,16
15,M08,1.55,0.0043,0.7,Dataset 08.xlsx,16
15,M09,1.22,0.013,0.31,Dataset 09.xlsx,16
15,M10,2.01,0.0031,0.49,Dataset 10.xlsx,16
15,M11,1.81,0.0131,0.36,Dataset 11.xlsx,16
15,M12,1.67,0.0035,0.77,Dataset 12.xlsx,16
15,M13,2.26,0.0118,0.78,Dataset 13.xlsx,16
15,M14,1.29,0.0216,0.72,Dataset 14.xlsx,16
15,M15,2.81,0.0025,0.75,Dataset 15.xlsx,16
15,M16,2.24,0.0063,0.79,Dataset 16.xlsx,16
15,M17,1.34,0.0179,0.46,Dataset 17.xlsx,16
15,M18,1.83,0.0039,0.27,Dataset 18.xlsx,16
15,M19,2.24,0.018,0.64,Dataset 19.xlsx,16
15,M20,1.43,0.0017,1.29,Dataset 20.xlsx,16
15,M21,1.54,0.0138,0.09,Dataset 21.xlsx,16
15,M22,1.96,0.0132,0.62,Dataset 22.xlsx,16
15,M23,0.88,0.0169,0.17,Dataset 23.xlsx,16
15,M24,2.41,0.0025,0.54,Dataset 24.xlsx,16
15,M25,4.22,0.0057,2.25,Dataset 25.xlsx,16
15,M26,2.32,0.0099,1.97,Dataset 26.xlsx,16
15,M27,4.87,0.0044,2.77,Dataset 27.xlsx,16
