compound_id,method_id,rt_min,rsd_source,retention_factor_source,source_file,source_row
156,M20,9.76,0.0008,14.62,Dataset 20.xlsx,148
156,M21,7.1,0.001,4.04,Dataset 21.xlsx,148
156,M22,16.62,0.0008,12.74,Dataset 22.xlsx,148
156,M23,17.25,0.0021,21.99,Dataset 23.xlsx,148
156,M24,17.13,0.0011,9.98,Dataset 24.xlsx,148
156,M25,14.75,0.0005,10.35,Dataset 25.xlsx,157
156,M26,13.47,0.0009,16.27,Dataset 26.xlsx,157
156,M27,17.78,0,12.78,Dataset 27.xlsx,157
156,M28,15.82,0.0005,19.28,Dataset 28.xlsx,157
156,M29,17.69,0.0004,9.59,Dataset 29.xlsx,157
156,M30,11.07,0.0005,7.2,Dataset 30.xlsx,157
157,M01,7.44,0.001,4.86,Dataset 01.xlsx,150
157,M02,9.88,0.0022,9.8,Dataset 02.xlsx,150
157,M03,10.44,0.0005,6.68,Dataset 03.xlsx,150
157,M04,9.54,0.0006,5.9,Dataset 04.xlsx,150
157,M05,9.47,0.0007,6.23,Dataset 05.xlsx,150
157,M06,13.03,0.001,8.3,Dataset 06.xlsx,150
157,M07,14.31,0.001,9.44,Dataset 07.xlsx,150
157,M08,18.7,0.0004,19.54,Dataset 08.xlsx,150
157,M09,17.44,0.0014,17.7,Dataset 09.xlsx,150
157,M10,20.34,0.0003,14.06,Dataset 10.xlsx,150
157,M11,19.35,0,13.6,Dataset 11.xlsx,150
157,M12,26.64,0.0005,27.27,Dataset 12.xlsx,150
157,M13,26.81,0,20.11,Dataset 13.xlsx,150
157,M14,23.06,0.0006,29.75,Dataset 14.xlsx,150
157,M15,27.07,0.0003,15.92,Dataset 15.xlsx,150
157,M16,55.15,0.0002,43.12,Dataset 16.xlsx,150
157,M17,7.28,0.0031,6.91,Dataset 17.xlsx,150
157,M18,10.1,0.0043,6.01,Dataset 18.xlsx,150
157,M19,8.11,0.0031,4.94,Dataset 19.xlsx,150
157,M20,10.53,0.0002,15.85,Dataset 20.xlsx,149
157,M21,7.59,0.0009,4.38,Dataset 21.xlsx,149
157,M22,18.39,0.0007,14.2,Dataset 22.xlsx,149
157,M23,15.53,0,19.71,Dataset 23.xlsx,149
157,M24,18.86,0.0003,11.09,Dataset 24.xlsx,149
157,M25,14.35,0.0006,10.04,Dataset 25.xlsx,158
157,M26,13,0.0008,15.67,Dataset 26.xlsx,158
157,M27,16.94,0.0008,12.13,Dataset 27.xlsx,158
157,M28,14.83,0.0006,18.01,Dataset 28.xlsx,158
157,M29,16.87,0.0004,9.1,Dataset 29.xlsx,158
157,M30,10.42,0.0027,6.71,Dataset 30.xlsx,158
158,M01,8.32,0.0034,5.55,Dataset 01.xlsx,151
158,M02,10.99,0,11.01,Dataset 02.xlsx,151
158,M03,12.7,0.0006,8.35,Dataset 03.xlsx,151
158,M04,11.65,0.0004,7.43,Dataset 04.xlsx,151
158,M05,11.86,0.0084,8.05,Dataset 05.xlsx,151
158,M06,15.67,0,10.19,Dataset 06.xlsx,151
158,M07,17.75,0.0028,11.96,Dataset 07.xlsx,151
158,M08,22.02,0.0003,23.2,Dataset 08.xlsx,151
158,M09,20.58,0.0021,21.06,Dataset 09.xlsx,151
