compound_id,name,source_smiles,source_inchi,source_formula,inchi_connectivity_matches,source_inchikey,generated_inchikey,canonical_smiles,group_parent_key,compound_group,rdkit_formula,fragment_count,mol_MolWt,mol_MolLogP,mol_TPSA,mol_NumHDonors,mol_NumHAcceptors,mol_NumRotatableBonds,mol_RingCount,mol_NumAromaticRings,mol_NumAliphaticRings,mol_FractionCSP3,mol_HeavyAtomCount,mol_NHOHCount,mol_NOCount,mol_LabuteASA,mol_BertzCT,mol_BalabanJ,mol_Chi0v,mol_Chi1v,mol_Kappa1,mol_Kappa2,mol_FormalCharge
153,Butifos,CCCCSP(=O)(SCCCC)SCCCC,"InChI=1S/C12H27OPS3/c1-4-7-10-15-14(13,16-11-8-5-2)17-12-9-6-3/h4-12H2,1-3H3",C12H27OPS3,True,ZOKXUAHZSKEQSS-UHFFFAOYSA-N,ZOKXUAHZSKEQSS-UHFFFAOYSA-N,CCCCSP(=O)(SCCCC)SCCCC,[CH3]-[CH2]-[CH2]-[CH2]-[S]-[P](=[O])(-[S]-[CH2]-[CH2]-[CH2]-[CH3])-[S]-[CH2]-[CH2]-[CH2]-[CH3]_0_0,dd846ae5b622e8b2e6c71cac,C12H27OPS3,1,314.522,6.6944,17.07,0,4,12,0,0,0,1,17,0,1,119.658298132,178.643209495,3.99898297285,14.7880847218,13.19662213,18.28,12.3207878652,0
154,Dichlofenthion,CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,"InChI=1S/C10H13Cl2O3PS/c1-3-13-16(17,14-4-2)15-10-6-5-8(11)7-9(10)12/h5-7H,3-4H2,1-2H3",C10H13Cl2O3PS,True,WGOWCPGHOCIHBW-UHFFFAOYSA-N,WGOWCPGHOCIHBW-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,[CH3]-[CH2]-[O]-[P](=[S])(-[O]-[CH2]-[CH3])-[O]-[c]1:[cH]:[cH]:[c](-[Cl]):[cH]:[c]:1-[Cl]_0_0,f3706234c543da48bc5c0106,C10H13Cl2O3PS,1,315.158,4.6697,27.69,0,4,6,1,1,0,0.4,17,0,3,116.218267823,418.012079143,2.89340156093,12.7051817373,8.35395061257,15.2282411182,6.93153010652,0
155,PFEESA,C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F,"InChI=1S/C4HF9O4S/c5-1(6,7)2(8,9)17-3(10,11)4(12,13)18(14,15)16/h(H,14,15,16)",C4HF9O4S,True,RJGUAQKOHAABLK-UHFFFAOYSA-N,RJGUAQKOHAABLK-UHFFFAOYSA-N,O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[O]=[S](=[O])(-[OH])-[C](-[F])(-[F])-[C](-[F])(-[F])-[O]-[C](-[F])(-[F])-[C](-[F])(-[F])-[F]_0_0,8109b130d7942e795d77baa7,C4HF9O4S,1,316.097,2.2315,63.6,1,3,4,0,0,0,1,18,1,4,92.0660772369,408.7737976,5.46631933076,8.29838359537,4.76918341221,17.24,4.12470017637,0
156,Bupirimate,CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C,"InChI=1S/C13H24N4O3S/c1-6-8-9-11-10(3)15-13(14-7-2)16-12(11)20-21(18,19)17(4)5/h6-9H2,1-5H3,(H,14,15,16)",C13H24N4O3S,True,DSKJPMWIHSOYEA-UHFFFAOYSA-N,DSKJPMWIHSOYEA-UHFFFAOYSA-N,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,[C]:[C]1:[N]:[C](:[N]-[CH2]-[CH3]):[N]:[C](:[O]-[S](=[O])(=[O])-[N](-[CH3])-[CH3]):[C]:1-[CH2]-[CH2]-[CH2]-[CH3]_4_0,3104d8d880d3cd06ac46bd0b,C13H24N4O3S,1,316.427,1.74462,84.42,1,6,8,1,1,0,0.692307692308,21,1,7,126.548198963,573.024258987,3.22920453676,14.119557654,8.4120214283,17.6410464523,7.55627348027,0
157,Zearalenone,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,"InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1",C18H22O5,True,MBMQEIFVQACCCH-QBODLPLBSA-N,MBMQEIFVQACCCH-QBODLPLBSA-N,C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,[CH3]-[CH]1-[CH2]-[CH2]-[C]:[C](:[O]):[C]-[CH2]-[CH2]-[CH]=[CH]-[C]2:[C]:[C](:[O]):[C]:[C](:[O]):[C]:2:[C](:[O])-[O]-1_8_0,bd2b46e5d8d336def30a4873,C18H22O5,1,318.369,3.5796,83.83,2,5,0,2,1,1,0.444444444444,23,2,5,135.140331241,618.08311436,2.31557273481,13.2485640955,7.9229509292,17.0601690416,7.809739369,0
158,Tebupirimfos,CCOP(=S)(OC1=CN=C(N=C1)C(C)(C)C)OC(C)C,"InChI=1S/C13H23N2O3PS/c1-7-16-19(20,17-10(2)3)18-11-8-14-12(15-9-11)13(4,5)6/h8-10H,7H2,1-6H3",C13H23N2O3PS,True,AWYOMXWDGWUJHS-UHFFFAOYSA-N,AWYOMXWDGWUJHS-UHFFFAOYSA-N,CCOP(=S)(Oc1cnc(C(C)(C)C)nc1)OC(C)C,[CH3]-[CH2]-[O]-[P](=[S])(-[O]-[CH](-[CH3])-[CH3])-[O]:[C]1:[C]:[N]:[C](-[C](-[CH3])(-[CH3])-[CH3]):[N]:[C]:1_2_0,3fd88639055c4f90157ae592,C13H23N2O3PS,1,318.379,3.8389,53.47,0,6,6,1,1,0,0.692307692308,20,0,5,125.875741903,471.49976697,2.86824666105,14.624715309,9.167605849,17.5014138817,6.94101034405,0
159,Norfloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,"InChI=1S/C16H18FN3O3/c1-2-19-9-11(16(22)23)15(21)10-7-12(17)14(8-13(10)19)20-5-3-18-4-6-20/h7-9,18H,2-6H2,1H3,(H,22,23)",C16H18FN3O3,True,OGJPXUAPXNRGGI-UHFFFAOYSA-N,OGJPXUAPXNRGGI-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,[CH3]-[CH2]-[N]1:[C]:[C](:[C](:[O]):[O]):[C](:[O]):[C]2:[C]:[C](-[F]):[C](:[N]3-[CH2]-[CH2]-[NH]-[CH2]-[CH2]-3):[C]:[C]:2:1_4_0,7953ee787848eada3b125164,C16H18FN3O3,1,319.336,1.2683,74.57,2,4,3,3,2,1,0.375,23,2,6,131.683959975,825.410759401,2.24358485236,12.8036865539,7.58252234336,15.4843420651,6.00030336135,0
160,Enoxacin,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,"InChI=1S/C15H17FN4O3/c1-2-19-8-10(15(22)23)12(21)9-7-11(16)14(18-13(9)19)20-5-3-17-4-6-20/h7-8,17H,2-6H2,1H3,(H,22,23)",C15H17FN4O3,True,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,[CH3]-[CH2]-[N]1:[C]:[C](:[C](:[O]):[O]):[C](:[O]):[C]2:[C]:[C](-[F]):[C](:[N]3-[CH2]-[CH2]-[NH]-[CH2]-[CH2]-3):[N]:[C]:2:1_3_0,2673245c3e0a30a5c3e96d57,C15H17FN4O3,1,320.324,0.6633,87.46,2,5,3,3,2,1,0.4,23,2,7,130.903607956,827.562287969,2.24358485236,12.6735498802,7.45238566967,15.4170120106,5.95873069759,0
161,Zearalanone,C[C@H]1CCCC(=O)CCCCCC2=C(C(=CC(=C2)O)O)C(=O)O1,"InChI=1S/C18H24O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h10-12,20-21H,2-9H2,1H3/t12-/m0/s1",C18H24O5,True,APJDQUGPCJRQRJ-LBPRGKRZSA-N,APJDQUGPCJRQRJ-LBPRGKRZSA-N,C[C@H]1CCCC(=O)CCCCCc2cc(O)cc(O)c2C(=O)O1,[CH3]-[CH]1-[CH2]-[CH2]-[C]:[C](:[O]):[C]-[CH2]-[CH2]-[CH2]-[CH2]-[C]2:[C]:[C](:[O]):[C]:[C](:[O]):[C]:2:[C](:[O])-[O]-1_8_0,cf53cfefe4d6fe2f0d464145,C18H24O5,1,320.385,3.499,83.83,2,5,0,2,1,1,0.555555555556,23,2,5,135.829934273,579.019831435,2.23019877155,13.5080771195,8.2462475614,17.3160041274,7.99380564384,0
162,α-Zearalenol,C[C@@H]1CCC[C@@H](CCC/C=C\c2cc(cc(c2C(=O)O1)O)O)O,"InChI=1S/C18H24O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,14,19-21H,2,4-6,8-9H2,1H3/b7-3+/t12-,14-/m1/s1",C18H24O5,True,FPQFYIAXQDXNOR-SXIUOJOQSA-N,FPQFYIAXQDXNOR-YVVFDKAISA-N,C[C@@H]1CCC[C@H](O)CCC/C=C\c2cc(O)cc(O)c2C(=O)O1,[CH3]-[CH]1-[CH2]-[CH2]-[CH2]-[CH](-[OH])-[CH2]-[CH2]-[CH2]-[CH]=[CH]-[C]2:[C]:[C](:[O]):[C]:[C](:[O]):[C]:2:[C](:[O])-[O]-1_4_0,bbde6b2455ce1854559c6709,C18H24O5,1,320.385,3.3714,86.99,3,5,0,2,1,1,0.5,23,3,5,135.773042893,579.019831435,2.29819557761,13.3648796697,8.08641547346,17.345529747,8.01511562985,0
