compound_id,name,source_smiles,source_inchi,source_formula,inchi_connectivity_matches,source_inchikey,generated_inchikey,canonical_smiles,group_parent_key,compound_group,rdkit_formula,fragment_count,mol_MolWt,mol_MolLogP,mol_TPSA,mol_NumHDonors,mol_NumHAcceptors,mol_NumRotatableBonds,mol_RingCount,mol_NumAromaticRings,mol_NumAliphaticRings,mol_FractionCSP3,mol_HeavyAtomCount,mol_NHOHCount,mol_NOCount,mol_LabuteASA,mol_BertzCT,mol_BalabanJ,mol_Chi0v,mol_Chi1v,mol_Kappa1,mol_Kappa2,mol_FormalCharge
1,"4-Amino-1,2,4-triazole",C1=NN=CN1N,"InChI=1S/C2H4N4/c3-6-1-4-5-2-6/h1-2H,3H2",C2H4N4,True,FMCUPJKTGNBGEC-UHFFFAOYSA-N,FMCUPJKTGNBGEC-UHFFFAOYSA-N,Nn1cnnc1,[N]:[N]1:[C]:[N]:[N]:[C]:1_4_0,63590c74120e85ecd05c0c08,C2H4N4,1,84.082,-1.0081,56.73,1,3,0,1,1,0,0,6,2,4,34.5683112747,109.108505534,3.04964832131,3.07369159407,1.49099444874,3.1424291498,0.96520151005,0
2,Moniliformin,C1=C(C(=O)C1=O)O,"InChI=1S/C4H2O3/c5-2-1-3(6)4(2)7/h1,5H",C4H2O3,True,KGPQKNJSZNXOPV-UHFFFAOYSA-N,KGPQKNJSZNXOPV-UHFFFAOYSA-N,O=c1cc(O)c1=O,[O]:[C]1:[C]:[C](:[O]):[C]:1:[O]_2_0,73c4545b8949e668c76a03b2,C4H2O3,1,98.057,-1.0118,54.37,1,3,0,1,1,0,0,7,1,3,38.5277059519,240.690174921,3.44261513018,3.34106044562,1.7092053574,4.05006802721,0.931659767876,0
3,3-Amino-2-oxazolidinone,C1COC(=O)N1N ,"InChI=1S/C3H6N2O2/c4-5-1-2-7-3(5)6/h1-2,4H2",C3H6N2O2,True,KYCJNIUHWNJNCT-UHFFFAOYSA-N,KYCJNIUHWNJNCT-UHFFFAOYSA-N,NN1CCOC1=O,[NH2]-[N]1-[CH2]-[CH2]-[O]-[C]-1=[O]_0_0,c7bcada0b8e888971aefc4c3,C3H6N2O2,1,102.093,-0.6877,55.56,1,3,0,1,0,1,0.666666666667,7,2,4,40.8082318201,92.9356969695,2.47843873939,3.75527400799,1.99495687857,4.39051364366,1.38160136359,0
4,1H-benzotriazole,C1=CC2=NNN=C2C=C1,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)",C6H5N3,True,QRUDEWIWKLJBPS-UHFFFAOYSA-N,QRUDEWIWKLJBPS-UHFFFAOYSA-N,c1ccc2n[nH]nc2c1,[C]1:[C]:[C]:[C]2:[N]:[N]:[N]:[C]:2:[C]:1_5_0,91876cd96b4863b74f62ede1,C6H5N3,1,119.127,0.9579,41.57,1,2,0,2,2,0,0,9,1,3,51.6984311709,282.280758714,2.95465979029,4.70382826776,2.72177746019,4.49424163307,1.54852551094,0
5,Nicotinic Acid,C1=CC(=CN=C1)C(=O)O,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",C6H5NO2,True,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP-UHFFFAOYSA-N,O=C(O)c1cccnc1,[O]:[C](:[O]):[C]1:[C]:[C]:[C]:[N]:[C]:1_5_0,f388de2f1532bd2d15000e9e,C6H5NO2,1,123.111,0.7798,50.19,1,2,1,1,1,0,0,9,1,3,51.9717490671,207.557662054,2.98145461404,4.61207655822,2.43814565833,5.7512335958,2.25933420066,0
6,Melamine,C1(=NC(=NC(=N1)N)N)N,"InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)",C3H6N6,True,JDSHMPZPIAZGSV-UHFFFAOYSA-N,JDSHMPZPIAZGSV-UHFFFAOYSA-N,Nc1nc(N)nc(N)n1,[N]:[C]1:[N]:[C](:[N]):[N]:[C](:[N]):[N]:1_6_0,903e67b4c2f9750d37336ae2,C3H6N6,1,126.123,-1.3818,116.73,3,6,0,1,1,0,0,9,6,6,51.1100191534,169.065177655,3.16567030992,4.57369159407,2.20766619028,5.54495276653,1.73121537611,0
7,Metformin,CN(C)C(=N)N=C(N)N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)",C4H11N5,True,XZWYZXLIPXDOLR-UHFFFAOYSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)N=C(N)N,[CH3]-[N](-[CH3])-[C](=[NH])-[N]=[C](-[NH2])-[NH2]_0_0,6916f867df709593d53ac483,C4H11N5,1,129.167,-1.24383,91.49,3,1,0,0,0,0,0.5,9,5,5,53.8543659204,131.893421141,3.92783097019,5.54912772938,2.39259785344,7.74,2.90710565589,0
8,"1,3-Benzothiazol",C1=CC=C2C(=C1)N=CS2,InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,C7H5NS,True,IOJUPLGTWVMSFF-UHFFFAOYSA-N,IOJUPLGTWVMSFF-UHFFFAOYSA-N,c1ccc2scnc2c1,[C]1:[C]:[C]:[C]2:[S]:[C]:[N]:[C]:2:[C]:1_5_0,d8974ef08904a88379044d8b,C7H5NS,1,135.191,2.2963,12.89,0,2,0,2,2,0,0,9,0,1,56.9730789026,282.893936766,2.95465979029,5.55870981284,3.62863517357,4.93995851412,1.80993815295,0
9,Trimethyl phosphate,COP(=O)(OC)OC,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",C3H9O4P,True,WVLBCYQITXONBZ-UHFFFAOYSA-N,WVLBCYQITXONBZ-UHFFFAOYSA-N,COP(=O)(OC)OC,[CH3]-[O]-[P](=[O])(-[O]-[CH3])-[O]-[CH3]_0_0,0e639a189265fa49bcc2c711,C3H9O4P,1,140.075,1.0337,44.76,0,4,3,0,0,0,1,8,0,4,48.3593816196,82.4369951609,3.79100981259,5.97463394836,3.41563510141,8.11,3.1982710523,0
10,Hexamethylenetetramine,C1N2CN3CN1CN(C2)C3,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,C6H12N4,True,VKYKSIONXSXAKP-UHFFFAOYSA-N,VKYKSIONXSXAKP-UHFFFAOYSA-N,C1N2CN3CN1CN(C2)C3,[CH2]1-[N]2-[CH2]-[N]3-[CH2]-[N]-1-[CH2]-[N](-[CH2]-2)-[CH2]-3_0_0,f04a2112b0e3021f58f129ea,C6H12N4,1,140.19,-1.0198,12.96,0,4,0,4,0,4,1,10,0,4,60.58580282,101.297480983,1.8973665961,6.03149506912,3.7947331922,5.48524744339,1.7072404432,0
11,(±)-Methamidophos,COP(=O)(N)SC,"InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)",C2H8NO2PS,True,NNKVPIKMPCQWCG-UHFFFAOYSA-N,NNKVPIKMPCQWCG-UHFFFAOYSA-N,COP(N)(=O)SC,[CH3]-[O]-[P](:[N])(:[O])-[S]-[CH3]_2_0,12805aa78d477c60ff4c9911,C2H8NO2PS,1,141.132,1.0626,52.32,1,3,2,0,0,0,1,7,2,3,46.8618032512,87.6905844717,3.60537862799,5.96023250801,5.14620261862,7.5,2.7214532872,0
12,Patulin,C1C=C2C(=CC(=O)O2)C(O1)O,"InChI=1S/C7H6O4/c8-6-3-4-5(11-6)1-2-10-7(4)9/h1,3,7,9H,2H2",C7H6O4,True,ZRWPUFFVAOMMNM-UHFFFAOYSA-N,ZRWPUFFVAOMMNM-UHFFFAOYSA-N,O=C1C=C2C(=CCOC2O)O1,[O]=[C]1-[CH]=[C]2-[C](=[CH]-[CH2]-[O]-[CH]-2-[OH])-[O]-1_0_0,f924f42d31e9b2b1918efd30,C7H6O4,1,154.121,-0.2979,55.76,1,4,0,2,0,2,0.285714285714,11,1,4,62.720881654,263.614138986,2.37912171073,5.61111605565,3.20789754928,6.5721172695,2.18131924517,0
13,L-carnitime,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",C7H15NO3,True,PHIQHXFUZVPYII-ZCFIWIBFSA-N,PHIQHXFUZVPYII-ZCFIWIBFSA-N,C[N+](C)(C)C[C@H](O)CC(=O)[O-],[CH3]-[N+](-[CH3])(-[CH3])-[CH2]-[CH](-[OH])-[CH2]-[C](=[O])-[O-]_0_0,cf7268b4f8767d681615d5ad,C7H15NO3,1,161.201,-1.8065,60.36,1,3,4,0,0,0,0.857142857143,11,1,4,66.6486984754,139.111337447,3.69425912524,7.20248760349,3.49436570425,10.39,3.68661987338,0
14,Recinine,CN1C=CC(=C(C1=O)C#N)OC,"InChI=1S/C8H8N2O2/c1-10-4-3-7(12-2)6(5-9)8(10)11/h3-4H,1-2H3",C8H8N2O2,True,PETSAYFQSGAEQY-UHFFFAOYSA-N,PETSAYFQSGAEQY-UHFFFAOYSA-N,COc1ccn(C)c(=O)c1C#N,[CH3]-[O]:[C]1:[C]:[C]:[N](-[CH3]):[C](:[O]):[C]:1:[C]:[N]_2_0,37db2b79f652ee6c5f897d99,C8H8N2O2,1,164.164,0.26558,55.02,0,3,1,1,1,0,0.25,12,0,4,69.6234959412,387.024825756,3.4938710497,6.86562431031,3.3411311296,8.33765625,3.0939010226,0
15,Pyridoxine,CC1=NC=C(C(=C1O)CO)CO,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",C8H11NO3,True,LXNHXLLTXMVWPM-UHFFFAOYSA-N,LXNHXLLTXMVWPM-UHFFFAOYSA-N,Cc1ncc(CO)c(CO)c1O,[C]:[C]1:[N]:[C]:[C](-[CH2]-[OH]):[C](-[CH2]-[OH]):[C]:1:[O]_5_0,dc48fc379a6c61beca713ed3,C8H11NO3,1,169.18,0.08022,73.58,3,4,2,1,1,0,0.375,12,3,4,70.1285787002,285.876616269,3.25329346218,6.78041821356,3.58364993306,8.96199632015,3.51190254114,0
16,Pencillic acid,CC(=C)C(=O)/C(=C\C(=O)O)/OC,"InChI=1S/C8H10O4/c1-5(2)8(11)6(12-3)4-7(9)10/h4H,1H2,2-3H3,(H,9,10)/b6-4+",C8H10O4,True,VOUGEZYPVGAPBB-GQCTYLIASA-N,VOUGEZYPVGAPBB-GQCTYLIASA-N,C=C(C)C(=O)/C(=C\C(=O)O)OC,[C]:[C](-[CH3]):[C](:[O]):[C](:[C]:[C](:[O]):[O]):[O]-[CH3]_4_0,6983229a0e0fe5fb5d401dcc,C8H10O4,1,170.164,0.7465,63.6,1,3,4,0,0,0,0.25,12,1,4,70.145462946,249.783475125,4.67858638797,6.95641551727,3.17513118369,10.42,4.32944168281,0
17,Metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-],"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",C6H9N3O3,True,VAOCPAMSLUNLGC-UHFFFAOYSA-N,VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CCO,[CH3]-[C]1:[N]:[C]:[C](-[N+](=[O])-[O-]):[N]:1-[CH2]-[CH2]-[OH]_1_0,e23aae84b93938a0352fa862,C6H9N3O3,1,171.156,0.09202,81.19,1,4,3,1,1,0,0.5,12,1,6,68.6122188259,294.228459046,3.03285893416,6.59691479449,3.43890511905,8.66460737938,3.31096414771,0
18,Triethyl phosphate,CCOP(=O)(OCC)OCC,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",C6H15O4P,True,DQWPFSLDHJDLRL-UHFFFAOYSA-N,DQWPFSLDHJDLRL-UHFFFAOYSA-N,CCOP(=O)(OCC)OCC,[CH3]-[CH2]-[O]-[P](=[O])(-[O]-[CH2]-[CH3])-[O]-[CH2]-[CH3]_0_0,b4fed703cda493a4827fa37b,C6H15O4P,1,182.156,2.204,44.76,0,4,6,0,0,0,1,11,0,4,67.4542079628,112.76953529,3.90847194978,8.09595429191,5.17823597736,11.11,5.72136458326,0
19,Acephate,CC(=O)NP(=O)(OC)SC,"InChI=1S/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)",C4H10NO3PS,True,YASYVMFAVPKPKE-UHFFFAOYSA-N,YASYVMFAVPKPKE-UHFFFAOYSA-N,COP(=O)(NC(C)=O)SC,[CH3]-[O]-[P](=[O])(:[N]:[C](-[CH3]):[O])-[S]-[CH3]_1_0,ac149acd23b05351f726234b,C4H10NO3PS,1,183.169,1.24,55.4,1,4,3,0,0,0,0.75,10,1,4,63.9631810666,163.885638958,4.07411888462,7.79113052928,5.99655048786,10.01,4.00777939699,0
20,Sulfamylon,C1=CC(=CC=C1CN)S(=O)(=O)N,"InChI=1S/C7H10N2O2S/c8-5-6-1-3-7(4-2-6)12(9,10)11/h1-4H,5,8H2,(H2,9,10,11)",C7H10N2O2S,True,TYMRLRRVMHJFTF-UHFFFAOYSA-N,TYMRLRRVMHJFTF-UHFFFAOYSA-N,NCc1ccc(S(N)(=O)=O)cc1,[NH2]-[CH2]-[c]1:[cH]:[cH]:[c](-[S](-[NH2])(=[O])=[O]):[cH]:[cH]:1_0_0,2e969e332007bc99ca627155,C7H10N2O2S,1,186.236,-0.2073,86.18,2,3,2,1,1,0,0.142857142857,12,4,4,71.2369025203,355.497695223,3.09046103473,7.21244984864,4.90264810299,9.18017132552,3.22037795094,0
21,Molinate,CCSC(=O)N1CCCCCC1,"InChI=1S/C9H17NOS/c1-2-12-9(11)10-7-5-3-4-6-8-10/h2-8H2,1H3",C9H17NOS,True,DEDOPGXGGQYYMW-UHFFFAOYSA-N,DEDOPGXGGQYYMW-UHFFFAOYSA-N,CCSC(=O)N1CCCCCC1,[CH3]-[CH2]-[S]-[C](=[O])-[N]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1_0_0,f3235c534d97f6bc0f007674,C9H17NOS,1,187.308,2.7355,20.31,0,2,1,1,0,1,0.888888888889,12,0,2,78.6974225851,141.463961598,2.31977050338,8.52995422566,5.74569109568,9.90460236887,5.46303710514,0
22,Atrazine-desethyl,CC(C)NC1=NC(=NC(=N1)N)Cl,"InChI=1S/C6H10ClN5/c1-3(2)9-6-11-4(7)10-5(8)12-6/h3H,1-2H3,(H3,8,9,10,11,12)",C6H10ClN5,True,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,CC(C)Nc1nc(N)nc(Cl)n1,[CH3]-[CH](-[CH3])-[N]:[C]1:[N]:[C](-[Cl]):[N]:[C](:[N]):[N]:1_3_0,f18cafc9fe5d3c8c43fb5f40,C6H10ClN5,1,187.634,0.9275,76.72,2,5,2,1,1,0,0.5,12,3,5,75.378192513,254.390996807,2.85470689066,7.63023474391,3.89063830358,8.99174311927,3.53217873069,0
23,Isoprocarb,CC(C)C1=CC=CC=C1OC(=O)NC,"InChI=1S/C11H15NO2/c1-8(2)9-6-4-5-7-10(9)14-11(13)12-3/h4-8H,1-3H3,(H,12,13)",C11H15NO2,True,QBSJMKIUCUGGNG-UHFFFAOYSA-N,QBSJMKIUCUGGNG-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1C(C)C,[CH3]-[N]:[C](:[O])-[O]-[c]1:[cH]:[cH]:[cH]:[cH]:[c]:1-[CH](-[CH3])-[CH3]_1_0,8742336b8c952dfbe6485e45,C11H15NO2,1,193.246,2.5282,38.33,1,2,2,1,1,0,0.363636363636,14,1,3,84.0810432046,320.818499554,2.89726337925,8.70324792688,4.63309837786,10.5700640512,4.64975097097,0
24,Bisphenol F,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,"InChI=1S/C13H12O2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8,14-15H,9H2",C13H12O2,True,PXKLMJQFEQBVLD-UHFFFAOYSA-N,PXKLMJQFEQBVLD-UHFFFAOYSA-N,Oc1ccc(Cc2ccc(O)cc2)cc1,[O]:[C]1:[C]:[C]:[C](-[CH2]-[C]2:[C]:[C]:[C](:[O]):[C]:[C]:2):[C]:[C]:1_10_0,e7732197de6d851c1ed1bd48,C13H12O2,1,200.237,2.6886,40.46,2,2,2,2,2,0,0.0769230769231,15,2,2,88.4419069443,385.598061653,2.14671137562,8.2203361257,4.79705478678,9.58950852672,4.04790904597,0
25,3-Amino-5-morpholinomethyl-2-oxazolidinone,C1COCCN1CC2CN(C(=O)O2)N,"InChI=1S/C8H15N3O3/c9-11-6-7(14-8(11)12)5-10-1-3-13-4-2-10/h7H,1-6,9H2",C8H15N3O3,True,TVHAMVOINIHMEX-UHFFFAOYSA-N,TVHAMVOINIHMEX-UHFFFAOYSA-N,NN1CC(CN2CCOCC2)OC1=O,[NH2]-[N]1-[CH2]-[CH](-[CH2]-[N]2-[CH2]-[CH2]-[O]-[CH2]-[CH2]-2)-[O]-[C]-1=[O]_0_0,a36f54566b3e72a686c53426,C8H15N3O3,1,201.226,-0.9869,68.03,1,5,2,2,0,2,0.875,14,2,6,82.5004901383,217.877043883,1.77161201293,8.01651328789,4.78451415254,9.69539325001,4.11896836164,0
26,Thiabendazole,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)",C10H7N3S,True,WJCNZQLZVWNLKY-UHFFFAOYSA-N,WJCNZQLZVWNLKY-UHFFFAOYSA-N,c1ccc2[nH]c(-c3cscn3)nc2c1,[C]1:[C]:[C]:[C]2:[N]:[C](:[C]3:[C]:[S]:[C]:[N]:3):[N]:[C]:2:[C]:1_7_0,27c58396e87680d42d13063f,C10H7N3S,1,201.254,2.6864,41.57,1,3,1,3,3,0,0,14,1,3,84.4589815106,520.52859636,2.24409477525,8.08327367753,5.20925824915,7.69870228769,2.91983569967,0
27,4-Octylphenol,CCCCCCCCC1=CC=C(C=C1)O,"InChI=1S/C14H22O/c1-2-3-4-5-6-7-8-13-9-11-14(15)12-10-13/h9-12,15H,2-8H2,1H3",C14H22O,True,NTDQQZYCCIDJRK-UHFFFAOYSA-N,NTDQQZYCCIDJRK-UHFFFAOYSA-N,CCCCCCCCc1ccc(O)cc1,[CH3]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[C]1:[C]:[C]:[C](:[O]):[C]:[C]:1_5_0,76c4529644e0b71c67b057ff,C14H22O,1,206.329,4.2952,20.23,1,1,7,1,1,0,0.571428571429,15,1,1,93.1451737869,250.546139804,2.07067289611,9.70636214056,6.10563417458,12.0913266762,7.32984677393,0
28,(2E)-2-(2-Nitrobenzylidene)hydrazinecarboxamide,C1=CC=C(C(=C1)/C=N/NC(=O)N)[N+](=O)[O-],"InChI=1S/C8H8N4O3/c9-8(13)11-10-5-6-3-1-2-4-7(6)12(14)15/h1-5H,(H3,9,11,13)/b10-5-",C8H8N4O3,True,OEOKLBSECDAYSM-YHYXMXQVSA-N,OEOKLBSECDAYSM-BJMVGYQFSA-N,NC(=O)N/N=C/c1ccccc1[N+](=O)[O-],[N]:[C](:[O]):[N]:[N]:[C]:[C]1:[C]:[C]:[C]:[C]:[C]:1-[N+](=[O])-[O-]_8_0,8efe873c7ea952bb6b580341,C8H8N4O3,1,208.177,0.597,110.62,2,4,3,1,1,0,0,15,3,7,84.7309965575,416.102738227,2.88866517766,7.58327367753,3.92938554053,10.6396178344,4.70072673808,0
29,Propoxur,CC(C)OC1=CC=CC=C1OC(=O)NC,"InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)",C11H15NO3,True,ISRUGXGCCGIOQO-UHFFFAOYSA-N,ISRUGXGCCGIOQO-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1OC(C)C,[CH3]-[N]:[C](:[O])-[O]-[c]1:[cH]:[cH]:[cH]:[cH]:[c]:1-[O]-[CH](-[CH3])-[CH3]_1_0,e863ae07267316f831b4c0a3,C11H15NO3,1,209.245,2.192,47.56,1,3,3,1,1,0,0.363636363636,15,1,4,89.1945884341,336.359848277,2.80945320732,9.11149621734,4.78424964889,11.3652445448,5.24022313536,0
30,Ethirimol,CCCCC1=C(N=C(NC1=O)NCC)C,"InChI=1S/C11H19N3O/c1-4-6-7-9-8(3)13-11(12-5-2)14-10(9)15/h4-7H2,1-3H3,(H2,12,13,14,15)",C11H19N3O,True,BBXXLROWFHWFQY-UHFFFAOYSA-N,BBXXLROWFHWFQY-UHFFFAOYSA-N,CCCCc1c(C)nc(NCC)[nH]c1=O,[C]:[C]1:[N]:[C](:[N]-[CH2]-[CH3]):[N]:[C](:[O]):[C]:1-[CH2]-[CH2]-[CH2]-[CH3]_5_0,b9392f6f4c6d048d44b0a444,C11H19N3O,1,209.293,1.85272,57.78,2,3,5,1,1,0,0.636363636364,15,2,4,90.1366781658,370.586050316,2.93733110831,9.68388901071,5.52265808429,11.7530994152,5.53401609304,0
31,Perfluorobutanoic acid,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,"InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)",C4HF7O2,True,YPJUNDFVDDCYIH-UHFFFAOYSA-N,YPJUNDFVDDCYIH-UHFFFAOYSA-N,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,[O]:[C](:[O])-[C](-[F])(-[F])-[C](-[F])(-[F])-[C](-[F])(-[F])-[F]_1_0,87bd4c8586b4b78f83e43895,C4HF7O2,1,214.036,1.9039,37.3,1,1,2,0,0,0,0.75,13,1,2,65.9485810437,217.022656912,5.15882549843,5.50121319703,2.50060659851,11.98,2.739507255,0
32,Sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,"InChI=1S/C8H10N2O3S/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)",C8H10N2O3S,True,SKIVFJLNDNKQPD-UHFFFAOYSA-N,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)c1ccc(N)cc1,[CH3]-[C](:[O]):[N]-[S](=[O])(=[O])-[C]1:[C]:[C]:[C](:[N]):[C]:[C]:1_7_0,1db51764879da07a9a804f89,C8H10N2O3S,1,214.246,0.0936,89.26,2,4,2,1,1,0,0.125,14,3,5,81.9733382214,436.159125542,3.04748612637,8.33624108873,5.28891135626,10.5203858521,3.66695168948,0
33,Sulfaguanidine,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,"InChI=1S/C7H10N4O2S/c8-5-1-3-6(4-2-5)14(12,13)11-7(9)10/h1-4H,8H2,(H4,9,10,11)",C7H10N4O2S,True,BRBKOPJOKNSWSG-UHFFFAOYSA-N,BRBKOPJOKNSWSG-UHFFFAOYSA-N,NC(N)=NS(=O)(=O)c1ccc(N)cc1,[N]:[C]1:[C]:[C]:[C](-[S](=[O])(=[O])-[N]=[C](-[NH2])-[NH2]):[C]:[C]:1_6_0,267de3c8ac980a5b10b9c703,C7H10N4O2S,1,214.25,-0.7691,124.56,3,3,2,1,1,0,0,14,6,6,81.4721157032,445.083068369,3.18193753441,8.02990693215,5.07109439978,10.3216993464,3.54255463219,0
34,Metribuzin,CC(C)(C)C1=NN=C(N(C1=O)N)SC,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",C8H14N4OS,True,FOXFZRUHNHCZPX-UHFFFAOYSA-N,FOXFZRUHNHCZPX-UHFFFAOYSA-N,CSc1nnc(C(C)(C)C)c(=O)n1N,[CH3]-[S]-[C]1:[N]:[N]:[C](-[C](-[CH3])(-[CH3])-[CH3]):[C](:[O]):[N]:1:[N]_2_0,3577ec1a80f55e1baa422693,C8H14N4OS,1,214.294,0.3715,73.8,1,5,1,1,1,0,0.625,14,2,5,86.688141532,393.308244656,3.39709120023,9.55198421754,5.39386753307,11.0371604938,3.60604559821,0
35,Cycloate,CCN(C1CCCCC1)C(=O)SCC,"InChI=1S/C11H21NOS/c1-3-12(11(13)14-4-2)10-8-6-5-7-9-10/h10H,3-9H2,1-2H3",C11H21NOS,True,DFCAFRGABIXSDS-UHFFFAOYSA-N,DFCAFRGABIXSDS-UHFFFAOYSA-N,CCSC(=O)N(CC)C1CCCCC1,[CH3]-[CH2]-[S]-[C](=[O])-[N](-[CH2]-[CH3])-[CH]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1_0_0,81b5b6388a6be51a7a64d27f,C11H21NOS,1,215.362,3.5141,20.31,0,2,3,1,0,1,0.909090909091,14,0,2,91.4273068139,178.126344899,2.45933122174,10.1073044949,6.71126558153,11.8923589001,6.33098078416,0
36,Mequindox,CC1=C([N+](=O)C2=CC=CC=C2N1[O-])C(=O)C,"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",C11H10N2O3,True,CUJMCPPBTUATEJ-UHFFFAOYSA-N,CUJMCPPBTUATEJ-UHFFFAOYSA-N,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,[C]:[C](:[O]):[C]1:[C](-[CH3]):[N](-[O-]):[C]2:[C]:[C]:[C]:[C]:[C]:2:[N]:1:[O]_7_1,60c9020481a65233be949416,C11H10N2O3,1,218.212,1.41272,68.03,0,3,1,2,2,0,0.181818181818,16,0,5,91.1217970818,643.455113206,3.0677472745,8.92857313915,4.79104997709,10.3512593706,3.44496110293,0
37,Pantothenic Acid,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",C9H17NO5,True,GHOKWGTUZJEAQD-ZETCQYMHSA-N,GHOKWGTUZJEAQD-ZETCQYMHSA-N,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,[CH3]-[C](-[CH3])(-[CH2]-[OH])-[CH](-[OH])-[C](:[O]):[N]-[CH2]-[CH2]-[C](:[O]):[O]_2_0,7e22cb18273d1125b6e9f516,C9H17NO5,1,219.237,-1.0433,106.86,4,4,6,0,0,0,0.777777777778,15,4,6,87.9143955833,238.657202935,4.05053988041,8.85680798018,4.59429218495,13.86,5.67084056786,0
38,4-nonylphenol,CCCCCCCCCC1=CC=C(C=C1)O,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3",C15H24O,True,IGFHQQFPSIBGKE-UHFFFAOYSA-N,IGFHQQFPSIBGKE-UHFFFAOYSA-N,CCCCCCCCCc1ccc(O)cc1,[CH3]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[C]1:[C]:[C]:[C](:[O]):[C]:[C]:1_5_0,025d82d93173ecb6ae20cb79,C15H24O,1,220.356,4.6853,20.23,1,1,8,1,1,0,0.6,16,1,1,99.5101159013,263.268369832,2.00563651146,10.4134689218,6.60563417458,13.0865778961,8.20447640917,0
